Employee ID,Full Name,Date of Birth,Gender,Education Level,Hire Date,Department,Job Title,Organization Level,Region,Country,Latitude,Longitude,Employment Status,Employment Type,Base Salary ($),Times Promoted,Annual Leave Entitlement (days),Ethnicity,Tenure (Years),Age (Years),Age Band,Tenure Band,Salary Band,Performance Review Year,Performance Rating,Projects Handled,Project Target,Working Hours,Overtime,Team Size,Potential Rating,Satisfaction Score,Incentive Amount ($),Bonus ($),Incentive Amount ($) Band,Bonus ($) Band,Satisfaction Score Band,Team Size Band,Performance Rating Band,Projects Handled Band,Project Target Band,Working Hours Band,Overtime Band,Resignation Probability,Resignation Prediction
-1.7310888242635853,Kyle Martin,10/7/1987,0,0,11/17/2021,2,7,0,0,0,-1.3172924776544241,1.0586787032870026,1,0,0.08218626114424833,0.7866121077432958,0.48927361520292906,2,-0.38980811278855115,-0.33590981681751136,36-45,1-3 Years,4,0.12627382177005528,2,-0.6888389057436806,-0.8999880342124027,0.03558651223588697,0.688428727722165,15,High,3,-0.47661809982973885,-0.7751370433391562,3,3,Medium,15-Nov,Below Average,21-40,21-40,3,2,0.000806788688701146,0
-1.7291643230692957,Nicole Young,6/3/2002,1,0,8/13/2020,2,15,2,2,4,-0.10659346709357256,-1.7308805949637334,1,1,2.8920861064519046,1.5046150458456953,-1.91886995962399,15,0.2203263246196159,-1.4329903846260041,18-25,4-6 Years,1,0.12627382177005528,2,-0.21606447922878602,-0.23645988270888255,-0.4354702683063674,1.9925080716855912,9,High,4,-0.8717685147279536,-0.8238418683778638,2,3,High,10-Jun,Below Average,21-40,41-60,2,4,0.003923502697026975,0
-1.727239821875006,Ibrahim Ortmann-Boucsein,5/31/1964,0,1,11/11/2018,5,12,1,1,1,1.1604047359185716,0.04982189103127102,0,0,-0.8848143816721314,-0.6493937684615038,0.48927361520292906,8,1.44059519943595,1.346280387155511,56-66,4-6 Years,3,0.12627382177005528,3,1.1431619970015356,1.14163704733689,-0.5102732763753091,-0.8592698334939344,11,Low,4,0.34953527658936817,0.8274972617271917,3,0,High,15-Nov,Average,61-80,61-80,2,1,0.0001166209535804014,0
-1.7253153206807164,Lawrence Rahman-Browne,6/20/1976,0,4,6/12/2021,6,14,0,1,3,1.0733953307351476,-0.12759756086745408,0,0,1.0293289149867209,0.06860916964089601,-0.8868084275553104,16,-0.38980811278855115,0.4686159329087166,46-55,1-3 Years,4,0.12627382177005528,2,-0.6888389057436806,-0.7979067801349381,-0.36336286143619845,-2.2135060739131474,12,High,4,-0.9174266399018564,-1.022625386713552,2,2,High,15-Nov,Below Average,21-40,21-40,2,0,0.0020231951022073816,0
-1.7233908194864265,Eric Torres,6/21/1987,0,2,4/20/2019,2,7,0,0,0,-1.3172924776544241,1.0586787032870026,1,0,2.2529368459868593,0.7866121077432958,-1.91886995962399,3,0.830460762027783,-0.33590981681751136,36-45,4-6 Years,1,0.12627382177005528,2,0.5521939638579175,0.5801901499108345,0.7164960559553348,-0.8879309172443722,14,High,4,0.20229711791123717,0.018061170125277304,3,3,High,15-Nov,Below Average,41-60,61-80,3,1,7.58850707242119e-05,0
-1.7214663182921368,Gisela Striebitz,1/28/1966,0,2,8/12/2022,2,3,1,1,1,1.1604047359185716,0.04982189103127102,0,1,-1.1819573456728236,-0.6493937684615038,1.1773146365820488,7,-1.6100769876048853,1.2000029781143784,56-66,1-3 Years,2,1.7046965938971819,3,1.9114204400882393,2.0093277069953395,2.033028997968708,0.5952802039210567,9,Low,3,2.511475519512386,1.732466606800915,1,0,Medium,10-Jun,Average,61-80,Above 80,4,2,0.9976780767886559,1
-1.7195418170978471,Amanda Solomon,6/21/1986,0,0,9/17/2022,3,9,0,2,4,-0.10659346709357256,-1.7308805949637334,1,0,0.2722824022601406,-0.6493937684615038,-0.8868084275553104,15,-0.9999425501967182,-0.26277111229694516,36-45,1-3 Years,4,0.12627382177005528,4,-1.2207101355729368,-1.2062317964447966,-0.4051447244946343,-2.4893690118360308,8,High,5,-0.6281450536125179,-0.25769865590893715,2,3,Very High,10-Jun,Good,21-40,21-40,2,0,0.03245543866336849,0
-1.7176173159035575,Tammy Smith,2/1/1966,1,1,11/2/2019,5,12,1,0,0,-1.3172924776544241,1.0586787032870026,1,0,0.16843314699825998,0.7866121077432958,0.48927361520292906,3,0.830460762027783,1.2000029781143784,56-66,4-6 Years,4,0.12627382177005528,2,0.6703875704866411,0.5801901499108345,-0.0727767643180401,0.5565877398906539,8,High,4,0.18918722957853076,0.14418717623614072,3,0,High,10-Jun,Below Average,41-60,61-80,3,2,3.1359054062898014e-05,0
-1.7156928147092678,Aziz Hofmann B.Sc.,9/5/1975,1,4,3/11/2021,0,4,2,1,1,1.1604047359185716,0.04982189103127102,0,1,-1.1868423802942558,-1.3673967065639034,0.48927361520292906,7,-0.38980811278855115,0.5417546374292829,46-55,1-3 Years,2,0.12627382177005528,2,-0.6888389057436806,-0.6447848990187411,0.8712237167969292,-0.04959419658565152,7,High,4,-0.4782074152317665,-0.8098173453913617,3,3,High,10-Jun,Below Average,21-40,21-40,3,1,0.0004273078597668093,0
-1.7137683135149782,Mary Cook,2/24/1970,1,1,11/29/2020,2,15,2,1,3,1.0733953307351476,-0.12759756086745408,1,0,0.13781838472366517,1.5046150458456953,-0.8868084275553104,16,0.2203263246196159,0.9074481600321137,46-55,4-6 Years,4,0.12627382177005528,2,-0.0978708726000624,0.018743252484779042,0.7593561578759173,-0.9309225439448194,14,High,3,-0.7380722658674289,-0.57412915813532,2,3,Medium,15-Nov,Below Average,41-60,41-60,3,1,0.00024654433114501664,0
